locusId	sysName	desc	comb
SM_b20002	SM_b20002	sugar ABC transporter ATP-binding protein	SM_b20002 sugar ABC transporter ATP-binding protein
SM_b20003	SM_b20003	pyrroline-5-carboxylate reductase	SM_b20003 pyrroline-5-carboxylate reductase
SM_b20004	SM_b20004	gstR-like transcriptional regulator protein	SM_b20004 gstR-like transcriptional regulator protein
SM_b20005	SM_b20005	glutathione S-transferase	SM_b20005 glutathione S-transferase
SM_b20006	SM_b20006	hypothetical protein	SM_b20006 hypothetical protein
SM_b20007	SM_b20007	catalase C protein	SM_b20007 catalase C protein
SM_b20008	SM_b20008	ATP-dependent DNA ligase	SM_b20008 ATP-dependent DNA ligase
SM_b20009	SM_b20009	transcriptional regulator	SM_b20009 transcriptional regulator
SM_b20010	SM_b20010	hypothetical protein	SM_b20010 hypothetical protein
SM_b20011	SM_b20011	hypothetical protein	SM_b20011 hypothetical protein
SM_b20012	SM_b20012	hypothetical protein	SM_b20012 hypothetical protein
SM_b20013	SM_b20013	hypothetical protein	SM_b20013 hypothetical protein
SM_b20014	SM_b20014	transcriptional regulator	SM_b20014 transcriptional regulator
SM_b20015	SM_b20015	sugar ABC transporter permease	SM_b20015 sugar ABC transporter permease
SM_b20016	SM_b20016	sugar ABC transporter permease	SM_b20016 sugar ABC transporter permease
SM_b20017	SM_b20017	sugar ABC transporter ATP-binding protein	SM_b20017 sugar ABC transporter ATP-binding protein
SM_b20018	SM_b20018	sugar ABC transporter substrate-binding protein	SM_b20018 sugar ABC transporter substrate-binding protein
SM_b20019	SM_b20019	dihydrolipoamide succinyltransferase	SM_b20019 dihydrolipoamide succinyltransferase
SM_b20020	SM_b20020	pyruvate dehydrogenase E1 component, subunits alpha and beta	SM_b20020 pyruvate dehydrogenase E1 component, subunits alpha and beta
SM_b20021	SM_b20021	transcriptional regulator	SM_b20021 transcriptional regulator
SM_b20022	SM_b20022	hypothetical protein	SM_b20022 hypothetical protein
SM_b20023	SM_b20023	hypothetical protein	SM_b20023 hypothetical protein
SM_b20024	SM_b20024	ribosomal large subunit pseudouridine synthase B	SM_b20024 ribosomal large subunit pseudouridine synthase B
SM_b20025	SM_b20025	hypothetical protein	SM_b20025 hypothetical protein
SM_b20026	SM_b20026	hypothetical protein	SM_b20026 hypothetical protein
SM_b20027	SM_b20027	hypothetical protein	SM_b20027 hypothetical protein
SM_b20028	SM_b20028	hypothetical protein	SM_b20028 hypothetical protein
SM_b20029	SM_b20029	hypothetical protein	SM_b20029 hypothetical protein
SM_b20030	SM_b20030	RNA polymerase sigma factor SigJ	SM_b20030 RNA polymerase sigma factor SigJ
SM_b20031	SM_b20031	hypothetical protein	SM_b20031 hypothetical protein
SM_b20032	SM_b20032	hypothetical protein	SM_b20032 hypothetical protein
SM_b20033	SM_b20033	transcriptional regulator	SM_b20033 transcriptional regulator
SM_b20034	SM_b20034	ABC transporter	SM_b20034 ABC transporter
SM_b20035	SM_b20035	ABC transporter permease	SM_b20035 ABC transporter permease
SM_b20036	SM_b20036	ABC transporter substrate-binding protein	SM_b20036 ABC transporter substrate-binding protein
SM_b20037	SM_b20037	shikimate 5-dehydrogenase	SM_b20037 shikimate 5-dehydrogenase
SM_b20039	SM_b20039	transcriptional regulator	SM_b20039 transcriptional regulator
SM_b20040	SM_b20040	hypothetical protein	SM_b20040 hypothetical protein
SM_b20041	SM_b20041	hypothetical protein	SM_b20041 hypothetical protein
SM_b20042	SM_b20042	hypothetical protein	SM_b20042 hypothetical protein
SM_b20043	SM_b20043	hypothetical protein	SM_b20043 hypothetical protein
SM_b20048	SM_b20048	transcriptional regulator	SM_b20048 transcriptional regulator
SM_b20049	SM_b20049	elongation factor G	SM_b20049 elongation factor G
SM_b20050	SM_b20050	hypothetical protein	SM_b20050 hypothetical protein
SM_b20054	SM_b20054	non-heme chloroperoxidase	SM_b20054 non-heme chloroperoxidase
SM_b20055	SM_b20055	transcriptional regulator	SM_b20055 transcriptional regulator
SM_b20059	SM_b20059	SAM-dependent methyltransferase	SM_b20059 SAM-dependent methyltransferase
SM_b20062	SM_b20062	hypothetical protein	SM_b20062 hypothetical protein
SM_b20063	SM_b20063	hypothetical protein	SM_b20063 hypothetical protein
SM_b20064	SM_b20064	hypothetical protein	SM_b20064 hypothetical protein
SM_b20067	SM_b20067	hypothetical protein	SM_b20067 hypothetical protein
SM_b20069	SM_b20069	amino acid carrier protein	SM_b20069 amino acid carrier protein
SM_b20070	SM_b20070	sulfate permease	SM_b20070 sulfate permease
SM_b20071	SM_b20071	efflux protein	SM_b20071 efflux protein
SM_b20072	SM_b20072	rhizopine binding protein	SM_b20072 rhizopine binding protein
SM_b20073	SM_b20073	oxidoreductase	SM_b20073 oxidoreductase
SM_b20074	SM_b20074	hypothetical protein	SM_b20074 hypothetical protein
SM_b20075	SM_b20075	hypothetical protein	SM_b20075 hypothetical protein
SM_b20076	SM_b20076	short-chain dehydrogenase	SM_b20076 short-chain dehydrogenase
SM_b20077	SM_b20077	sensor histidine kinase	SM_b20077 sensor histidine kinase
SM_b20078	SM_b20078	response regulator	SM_b20078 response regulator
SM_b20079	SM_b20079	hemolysin-adenlyate cyclase	SM_b20079 hemolysin-adenlyate cyclase
SM_b20080	SM_b20080	alcohol dehydrogenase	SM_b20080 alcohol dehydrogenase
SM_b20081	SM_b20081	hypothetical protein	SM_b20081 hypothetical protein
SM_b20082	SM_b20082	hypothetical protein	SM_b20082 hypothetical protein
SM_b20083	SM_b20083	hypothetical protein	SM_b20083 hypothetical protein
SM_b20084	SM_b20084	hypothetical protein	SM_b20084 hypothetical protein
SM_b20086	SM_b20086	hypothetical protein	SM_b20086 hypothetical protein
SM_b20087	SM_b20087	hypothetical protein	SM_b20087 hypothetical protein
