locusId	sysName	desc	expName	expDesc	fit	absDiff	p
SM_b20019	SM_b20019	dihydrolipoamide succinyltransferase	setAIT021	Lib Nod +N	1.45217689357479	2.72757481513507	0.000153799062613999
SM_b20166	SM_b20166	hypothetical protein	setAIT021	Lib Nod +N	1.45402297353526	5.32533817750951	0.00123294091394826
SM_b20300	SM_b20300	adenylate cyclase	setAIT021	Lib Nod +N	2.53353972504167	1.60526389191987	0.00471962331130358
SM_b20362	SM_b20362	inositol monophosphatase	setAIT021	Lib Nod +N	1.09892687856253	3.01831288486865	0.00391783141943948
SM_b20435	SM_b20435	hypothetical protein	setAIT021	Lib Nod +N	-1.15082667517577	2.45021417392055	0.00886146045389962
SM_b21074	SM_b21074	glycosyltransferase	setAIT021	Lib Nod +N	1.17781553969608	2.500679262562	0.00761503448498897
SM_b21191	SM_b21191	surface saccharide ABC transporter ATP-binding/membrane spanning protein	setAIT021	Lib Nod +N	1.06517958642104	4.02098770789635	0.000482776058374062
SM_b21213	SM_b21213	serinethreonine protein phosphatase	setAIT021	Lib Nod +N	1.61734460937841	3.21413215090275	0.00930400022688741
SM_b21372	SM_b21372	LacI family transcriptional regulator	setAIT021	Lib Nod +N	1.80875944140928	2.30667102538988	0.00179447260495294
SMa0591	SMa0591	transposase, fragment	setAIT021	Lib Nod +N	1.40357359109928	3.58401930477414	0.00154438621709131
SMa0690	SMa0690	hypothetical protein	setAIT021	Lib Nod +N	2.37385481867724	2.27411144527022	0.00835815913549577
SMa0892	SMa0892	DnaE3 DNA polymerase III alpha chain	setAIT021	Lib Nod +N	1.23256705799536	1.9102002682605	0.00397217282068509
SMa1082	SMa1082	hypothetical protein	setAIT021	Lib Nod +N	-1.29655655448661	2.66499010756384	0.00532670215861167
SMa1379	SMa1379	ABC transporter substrate-binding protein	setAIT021	Lib Nod +N	1.04088547298714	2.21223683527968	0.00546303037712544
SMa1882	SMa1882	transcriptional activator	setAIT021	Lib Nod +N	1.93199022329794	4.11513428391408	0.00572857903076569
SMa1893	SMa1893	LysR family transcriptional regulator	setAIT021	Lib Nod +N	1.60306688307903	3.51184994959955	0.00820804873808116
SMa2363	SMa2363	amidase	setAIT021	Lib Nod +N	2.42433058849074	3.60265864633927	0.00184305611832591
SMc00710	SMc00710	histidinol-phosphate aminotransferase	setAIT021	Lib Nod +N	1.95226431918843	1.88551817449337	0.00499557441478807
SMc01103	SMc01103	ribokinase	setAIT021	Lib Nod +N	1.75374276069674	3.41502841127596	0.00185149145063004
SMc01495	SMc01495	transcriptional regulator	setAIT021	Lib Nod +N	1.90210648600499	3.3634892169669	0.0065411931944421
SMc01592	SMc01592	transcriptional regulator	setAIT021	Lib Nod +N	-1.51259576969063	3.4444193238694	0.00086344630759356
SMc01798	SMc01798	hypothetical protein	setAIT021	Lib Nod +N	-1.7122185310865	2.4094105438096	5.97666552471216e-05
SMc01853	SMc01853	hypothetical protein	setAIT021	Lib Nod +N	1.29050531051468	3.58612298843228	0.0087388918714507
