locusId	sysName	desc	name	short	lrn	t
SM_b20039	SM_b20039	transcriptional regulator	setAIT026	Lib Nod --	3.40800813308827	5.21613843663499
SM_b20040	SM_b20040	hypothetical protein	setAIT028	Lib Nod --	10.3855999640765	5.75834344567333
SM_b20374	SM_b20374	substrate-binding protein	setAIT027	Lib Nod --	2.73609161281669	6.17784656770766
SM_b20374	SM_b20374	substrate-binding protein	setAIT022	Lib Nod +N	2.45634285160061	6.36163712301351
SM_b20374	SM_b20374	substrate-binding protein	setAIT026	Lib Nod --	2.47662479913144	6.65753606062006
SM_b20374	SM_b20374	substrate-binding protein	setAIT029	Lib Nod --	2.32740058186694	5.70125720885894
SM_b20374	SM_b20374	substrate-binding protein	setAIT024	Lib Nod +N	2.08485954264164	6.07294079163402
SM_b20374	SM_b20374	substrate-binding protein	setAIT032	Lib Bact +N	2.18414144258234	6.49889857923257
SM_b20374	SM_b20374	substrate-binding protein	setAIT037	Lib Bact --	2.58773054555862	9.65629279294396
SM_b20374	SM_b20374	substrate-binding protein	setAIT040	Lib Bact --	2.51526943475838	8.96728025513342
SM_b20374	SM_b20374	substrate-binding protein	setAIT028	Lib Nod --	2.28651704979139	6.75985543888158
SM_b20374	SM_b20374	substrate-binding protein	setAIT033	Lib Bact +N	2.88779495360839	5.63303481130688
SM_b20387	SM_b20387	transcriptional regulator	setAIT035	Lib Bact +N	4.52667935299708	5.37878970803203
SM_b20406	SM_b20406	5-oxoprolinase	setAIT040	Lib Bact --	2.32468016716891	6.37672097595189
SM_b20622	SM_b20622	sugar uptake ABC transporter ATP-binding protein	setAIT032	Lib Bact +N	2.35647538204431	5.27283235387151
SM_b20622	SM_b20622	sugar uptake ABC transporter ATP-binding protein	setAIT026	Lib Nod --	2.17859082970631	5.28108551465821
SM_b20622	SM_b20622	sugar uptake ABC transporter ATP-binding protein	setAIT027	Lib Nod --	2.32075564447408	5.36633750610124
SM_b20622	SM_b20622	sugar uptake ABC transporter ATP-binding protein	setAIT028	Lib Nod --	2.31159473657317	5.17240774459868
SM_b20669	SM_b20669	hydroxypyruvate isomerase	setAIT030	Lib Nod --	3.34333461029804	6.98174976986979
