id	21	22	23	24	26	27	28	29	30	31	32	33	35	37	39	40	41	42	43	44	45
SM_b20002 sugar ABC transporter ATP-binding protein	2	1	0	0	1	1	1	2	0	0	0	2	0	0	13	1	1579	875	1127	1443	1655
SM_b20003 pyrroline-5-carboxylate reductase	0	1	1	0	1	0	0	0	1	0	3	0	0	1	14	1	991	611	812	760	841
SM_b20004 gstR-like transcriptional regulator protein	0	0	0	0	1	1	0	0	1	0	2	1	0	3	8	2	1589	883	847	1128	1659
SM_b20005 glutathione S-transferase	0	1	0	2	2	0	1	0	1	0	0	0	0	1	7	2	727	458	970	814	787
SM_b20006 hypothetical protein	0	0	0	0	0	0	1	0	0	0	0	1	0	0	2	0	217	146	72	147	279
SM_b20007 catalase C protein	5	6	0	1	7	4	5	1	2	0	2	2	1	4	30	2	3878	1984	3375	3388	3890
SM_b20008 ATP-dependent DNA ligase	1	0	0	0	3	0	1	0	1	0	0	0	0	1	6	1	763	492	398	636	926
SM_b20009 transcriptional regulator	2	0	0	0	1	1	0	3705	0	0	0	0	0	2	14	1	624	331	357	471	658
SM_b20010 hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	1	477	228	341	370	578
SM_b20011 hypothetical protein	1	1	0	0	1	1	0	0	0	0	0	1	0	1	3	1	763	469	591	566	712
SM_b20012 hypothetical protein	3	3	1	2	6	7	5	2	3	0	2	2	0	9	39	7	4707	2970	2738	3838	4875
SM_b20013 hypothetical protein	2	2	0	2	0	2	2	0	1	0	0	1	0	3	26	2	2302	1340	1315	1735	2099
SM_b20014 transcriptional regulator	3	0	0	0	1	2	0	1	1	1	0	0	0	1	11	2	1163	689	650	930	1269
SM_b20015 sugar ABC transporter permease	1	1	0	0	3	3	1	0	0	0	1	1	0	1	19	3	1694	1081	960	1409	1761
SM_b20016 sugar ABC transporter permease	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	453	277	180	361	573
SM_b20017 sugar ABC transporter ATP-binding protein	1	2	1	3	6	4	3	0	1	0	1	2	0	5	21	2	3344	2095	3076	3281	3053
SM_b20018 sugar ABC transporter substrate-binding protein	0	0	0	0	0	0	0	0	0	0	1	0	0	0	6	0	821	483	409	608	902
SM_b20019 dihydrolipoamide succinyltransferase	3	0	0	0	4	1	1	0	1	0	0	0	0	1	11	1	1277	768	599	913	1331
"SM_b20020 pyruvate dehydrogenase E1 component, subunits alpha and beta"	2	2	1	660	5	2	2	0	0	0	2	2	0	2	28	2	2295	1466	1328	1877	2545
SM_b20021 transcriptional regulator	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	36	21	12	22	32
SM_b20022 hypothetical protein	0	1	0	0	1	0	0	0	0	0	1	0	0	0	6	1	582	307	321	428	535
SM_b20023 hypothetical protein	648	4	0	0	8	12	5	1	4	8	6	5	0	12	54	13	7381	4160	4579	5966	7579
SM_b20024 ribosomal large subunit pseudouridine synthase B	4	0	0	0	2	3	0	0	1	1	2	1	0	2	24	3	2509	1537	1335	2001	2789
SM_b20025 hypothetical protein	2	0	0	0	1	1	0	0	0	0	3	0	0	1	6	1	1216	679	526	911	1317
