Name,Sequence Name,Type,Minimum,Maximum,Direction,gene,locus_tag,old_locus_tag,protein_id,Length,product
WP_003550127.1,NC_008378.1,CDS,1,1194,forward,repA,RL_RS32950,pRL120001,WP_003550127.1,1194,plasmid partitioning protein RepA
repA,NC_008378.1,gene,1,1194,forward,repA,RL_RS32950,pRL120001,WP_003550127.1,1194,
WP_011648803.1,NC_008378.1,CDS,1199,2200,forward,repB,RL_RS32955,pRL120002,WP_011648803.1,1002,plasmid partitioning protein RepB
repB,NC_008378.1,gene,1199,2200,forward,repB,RL_RS32955,pRL120002,WP_011648803.1,1002,
WP_011648804.1,NC_008378.1,CDS,2355,3659,forward,,RL_RS32960,pRL120003,WP_011648804.1,1305,replication initiation protein RepC
RL_RS32960,NC_008378.1,gene,2355,3659,forward,,RL_RS32960,pRL120003,WP_011648804.1,1305,
WP_011648805.1,NC_008378.1,CDS,3773,4657,forward,,RL_RS32965,pRL120004,WP_011648805.1,885,dihydrodipicolinate synthase family protein
RL_RS32965,NC_008378.1,gene,3773,4657,forward,,RL_RS32965,pRL120004,WP_011648805.1,885,
WP_011648806.1,NC_008378.1,CDS,4665,5342,forward,,RL_RS32970,pRL120005,WP_011648806.1,678,GntR family transcriptional regulator
RL_RS32970,NC_008378.1,gene,4665,5342,forward,,RL_RS32970,pRL120005,WP_011648806.1,678,
WP_011648807.1,NC_008378.1,CDS,5398,6726,forward,,RL_RS32975,pRL120006,WP_011648807.1,1329,sugar ABC transporter substrate-binding protein
RL_RS32975,NC_008378.1,gene,5398,6726,forward,,RL_RS32975,pRL120006,WP_011648807.1,1329,
WP_011648808.1,NC_008378.1,CDS,6726,7664,forward,,RL_RS32980,pRL120007,WP_011648808.1,939,sugar ABC transporter permease
RL_RS32980,NC_008378.1,gene,6726,7664,forward,,RL_RS32980,pRL120007,WP_011648808.1,939,
WP_011648809.1,NC_008378.1,CDS,7664,8479,forward,,RL_RS32985,pRL120008,WP_011648809.1,816,carbohydrate ABC transporter permease
RL_RS32985,NC_008378.1,gene,7664,8479,forward,,RL_RS32985,pRL120008,WP_011648809.1,816,
WP_011648810.1,NC_008378.1,CDS,8498,9472,forward,,RL_RS32990,pRL120009,WP_011648810.1,975,sugar kinase
RL_RS32990,NC_008378.1,gene,8498,9472,forward,,RL_RS32990,pRL120009,WP_011648810.1,975,
CDS,NC_008378.1,CDS,9487,9873,reverse,,RL_RS38740,,,387,inorganic phosphate transporter
RL_RS38740,NC_008378.1,pseudogene,9487,9873,reverse,,RL_RS38740,,,387,
CDS,NC_008378.1,CDS,9891,9965,reverse,,RL_RS39570,,,75,nuclease PIN
RL_RS39570,NC_008378.1,pseudogene,9891,9965,reverse,,RL_RS39570,,,75,
WP_026160235.1,NC_008378.1,CDS,10291,11613,forward,ugpB,RL_RS32995,pRL120011,WP_026160235.1,1323,sn-glycerol-3-phosphate ABC transporter substrate-binding protein UgpB
ugpB,NC_008378.1,gene,10291,11613,forward,ugpB,RL_RS32995,pRL120011,WP_026160235.1,1323,
WP_011648813.1,NC_008378.1,CDS,11679,12563,forward,ugpA,RL_RS33000,pRL120012,WP_011648813.1,885,sn-glycerol-3-phosphate ABC transporter permease UgpA
ugpA,NC_008378.1,gene,11679,12563,forward,ugpA,RL_RS33000,pRL120012,WP_011648813.1,885,
WP_003562583.1,NC_008378.1,CDS,12576,13424,forward,ugpE,RL_RS33005,pRL120013,WP_003562583.1,849,sn-glycerol-3-phosphate ABC transporter permease UgpE
ugpE,NC_008378.1,gene,12576,13424,forward,ugpE,RL_RS33005,pRL120013,WP_003562583.1,849,
WP_011648814.1,NC_008378.1,CDS,13426,14472,forward,,RL_RS33010,pRL120014,WP_011648814.1,1047,sn-glycerol-3-phosphate import ATP-binding protein UgpC
RL_RS33010,NC_008378.1,gene,13426,14472,forward,,RL_RS33010,pRL120014,WP_011648814.1,1047,
WP_011648815.1,NC_008378.1,CDS,14528,15277,forward,,RL_RS33015,pRL120015,WP_011648815.1,750,glycerophosphoryl diester phosphodiesterase
RL_RS33015,NC_008378.1,gene,14528,15277,forward,,RL_RS33015,pRL120015,WP_011648815.1,750,
WP_011648816.1,NC_008378.1,CDS,15287,16072,forward,,RL_RS33020,pRL120016,WP_011648816.1,786,DeoR/GlpR family DNA-binding transcription regulator
RL_RS33020,NC_008378.1,gene,15287,16072,forward,,RL_RS33020,pRL120016,WP_011648816.1,786,
WP_011648817.1,NC_008378.1,CDS,16069,16914,forward,,RL_RS33025,pRL120017,WP_011648817.1,846,HAD-IIB family hydrolase
RL_RS33025,NC_008378.1,gene,16069,16914,forward,,RL_RS33025,pRL120017,WP_011648817.1,846,
WP_011648818.1,NC_008378.1,CDS,16872,17717,reverse,,RL_RS33030,pRL120018,WP_011648818.1,846,carbohydrate ABC transporter permease
RL_RS33030,NC_008378.1,gene,16872,17717,reverse,,RL_RS33030,pRL120018,WP_011648818.1,846,
WP_003550151.1,NC_008378.1,CDS,17721,18659,reverse,,RL_RS33035,pRL120019,WP_003550151.1,939,sugar ABC transporter permease
RL_RS33035,NC_008378.1,gene,17721,18659,reverse,,RL_RS33035,pRL120019,WP_003550151.1,939,
WP_003550152.1,NC_008378.1,CDS,18748,19995,reverse,,RL_RS33040,pRL120020,WP_003550152.1,1248,sugar ABC transporter substrate-binding protein
RL_RS33040,NC_008378.1,gene,18748,19995,reverse,,RL_RS33040,pRL120020,WP_003550152.1,1248,
WP_011648820.1,NC_008378.1,CDS,20570,21604,forward,,RL_RS33045,pRL120022,WP_011648820.1,1035,LacI family transcriptional regulator
RL_RS33045,NC_008378.1,gene,20570,21604,forward,,RL_RS33045,pRL120022,WP_011648820.1,1035,
WP_011648821.1,NC_008378.1,CDS,21620,22555,reverse,,RL_RS33050,pRL120023,WP_011648821.1,936,alpha/beta hydrolase
RL_RS33050,NC_008378.1,gene,21620,22555,reverse,,RL_RS33050,pRL120023,WP_011648821.1,936,
WP_011648822.1,NC_008378.1,CDS,22552,23700,reverse,,RL_RS33055,pRL120024,WP_011648822.1,1149,Gfo/Idh/MocA family oxidoreductase
RL_RS33055,NC_008378.1,gene,22552,23700,reverse,,RL_RS33055,pRL120024,WP_011648822.1,1149,
WP_011648823.1,NC_008378.1,CDS,23986,24804,forward,,RL_RS33060,pRL120025,WP_011648823.1,819,sugar phosphate isomerase/epimerase
RL_RS33060,NC_008378.1,gene,23986,24804,forward,,RL_RS33060,pRL120025,WP_011648823.1,819,
WP_003550157.1,NC_008378.1,CDS,24897,25658,reverse,,RL_RS33065,pRL120026,WP_003550157.1,762,DeoR/GlpR family DNA-binding transcription regulator
RL_RS33065,NC_008378.1,gene,24897,25658,reverse,,RL_RS33065,pRL120026,WP_003550157.1,762,
WP_003562561.1,NC_008378.1,CDS,25903,26703,forward,,RL_RS33070,pRL120027,WP_003562561.1,801,class I fructose-bisphosphate aldolase
RL_RS33070,NC_008378.1,gene,25903,26703,forward,,RL_RS33070,pRL120027,WP_003562561.1,801,
WP_011648824.1,NC_008378.1,CDS,26707,27648,forward,,RL_RS33075,pRL120028,WP_011648824.1,942,PfkB family carbohydrate kinase
RL_RS33075,NC_008378.1,gene,26707,27648,forward,,RL_RS33075,pRL120028,WP_011648824.1,942,
WP_041936975.1,NC_008378.1,CDS,27989,29134,forward,ugpC,RL_RS33080,pRL120029,WP_041936975.1,1146,sn-glycerol-3-phosphate ABC transporter ATP-binding protein UgpC
ugpC,NC_008378.1,gene,27989,29134,forward,ugpC,RL_RS33080,pRL120029,WP_041936975.1,1146,
WP_011648826.1,NC_008378.1,CDS,29268,30344,forward,,RL_RS33085,pRL120030,WP_011648826.1,1077,Gfo/Idh/MocA family oxidoreductase
RL_RS33085,NC_008378.1,gene,29268,30344,forward,,RL_RS33085,pRL120030,WP_011648826.1,1077,
WP_011648827.1,NC_008378.1,CDS,30344,31189,forward,,RL_RS33090,pRL120031,WP_011648827.1,846,sugar phosphate isomerase/epimerase
RL_RS33090,NC_008378.1,gene,30344,31189,forward,,RL_RS33090,pRL120031,WP_011648827.1,846,
WP_011648828.1,NC_008378.1,CDS,31186,31995,forward,,RL_RS33095,pRL120032,WP_011648828.1,810,alpha/beta hydrolase
RL_RS33095,NC_008378.1,gene,31186,31995,forward,,RL_RS33095,pRL120032,WP_011648828.1,810,
WP_011648829.1,NC_008378.1,CDS,32000,32701,forward,,RL_RS33100,pRL120033,WP_011648829.1,702,ribulose-phosphate 3-epimerase
