#Name,Accession,Start,Stop,,Direction,gene,locus_tag,protein_id,Length,product
pSymB,NC_003078.1,1,1275,,forward,,SM_RS17115,WP_003527981.1,1275,sugar ABC transporter substrate-binding protein
pSymB,NC_003078.1,1369,2265,,forward,,SM_RS17120,WP_010974927.1,897,sugar ABC transporter permease
pSymB,NC_003078.1,2262,3080,,forward,,SM_RS17125,WP_010974928.1,819,carbohydrate ABC transporter permease
pSymB,NC_003078.1,3089,5353,,forward,,SM_RS17130,WP_014527693.1,2265,glycoside hydrolase family 2 protein
pSymB,NC_003078.1,5350,6426,,forward,ugpC,SM_RS17135,WP_010974930.1,1077,sn-glycerol-3-phosphate ABC transporter ATP-binding protein UgpC
pSymB,NC_003078.1,6485,7261,,forward,,SM_RS17140,WP_010974931.1,777,pyrroline-5-carboxylate reductase
pSymB,NC_003078.1,7268,8173,,reverse,,SM_RS17145,WP_010974932.1,906,LysR family transcriptional regulator
pSymB,NC_003078.1,8289,8900,,forward,,SM_RS17150,WP_010974933.1,612,glutathione S-transferase
pSymB,NC_003078.1,9086,10039,,forward,,SM_RS17155,WP_010974934.1,954,pyridoxamine 5'-phosphate oxidase family protein
pSymB,NC_003078.1,10154,12271,,forward,,SM_RS17160,WP_010974935.1,2118,catalase
pSymB,NC_003078.1,12297,13364,,forward,,SM_RS17165,WP_010974936.1,1068,ATP-dependent DNA ligase
pSymB,NC_003078.1,13351,14280,,reverse,,SM_RS17170,WP_010974937.1,930,LysR family transcriptional regulator
pSymB,NC_003078.1,14375,15442,,forward,,SM_RS17175,WP_010974938.1,1068,alpha/beta fold hydrolase
pSymB,NC_003078.1,15669,16448,,forward,,SM_RS17180,WP_010974939.1,780,ZIP family metal transporter
pSymB,NC_003078.1,16480,19023,,reverse,,SM_RS17185,WP_010974940.1,2544,NAD-dependent epimerase/dehydratase family protein
pSymB,NC_003078.1,19079,20323,,reverse,,SM_RS17190,WP_010974941.1,1245,Gfo/Idh/MocA family oxidoreductase
pSymB,NC_003078.1,20377,21378,,reverse,,SM_RS17195,WP_010974942.1,1002,LacI family DNA-binding transcriptional regulator
pSymB,NC_003078.1,21392,22348,,reverse,,SM_RS17200,WP_010974943.1,957,ABC transporter permease
pSymB,NC_003078.1,22345,23337,,reverse,,SM_RS17205,WP_010974944.1,993,ABC transporter permease
pSymB,NC_003078.1,23337,24842,,reverse,,SM_RS17210,WP_010974945.1,1506,sugar ABC transporter ATP-binding protein
pSymB,NC_003078.1,25092,26114,,reverse,,SM_RS17215,WP_003527931.1,1023,ABC transporter substrate-binding protein
pSymB,NC_003078.1,26206,27342,,reverse,,SM_RS17220,WP_010974946.1,1137,2-oxo acid dehydrogenase subunit E2
pSymB,NC_003078.1,27345,29423,,reverse,,SM_RS17225,WP_010974947.1,2079,transketolase C-terminal domain-containing protein
pSymB,NC_003078.1,29540,30010,,forward,,SM_RS17230,WP_010974948.1,471,Lrp/AsnC family transcriptional regulator
pSymB,NC_003078.1,30658,31224,,forward,,SM_RS17235,WP_010974949.1,567,dienelactone hydrolase family protein
