protein_id,locus_match,new_gene,gene,name,description
,,,pRL100004,-,-
WP_011654074.1,SMc00900,RL_RS27450,pRL100005,-,conserved hypothetical PIN domain protein
WP_003555240.1,SMc00899,RL_RS27455,pRL100006,-,hypothetical protein
WP_011654075.1,SMa2257,RL_RS27460,pRL100007,-,putative integrase-like protein
WP_011654076.1,SMa2255,RL_RS27465,pRL100008,-,hypothetical protein
WP_011654077.1,SMa2253,RL_RS27470,pRL100009,-,hypothetical protein
,,,pRL100011,-,hypothetical protein
WP_173364459.1,SMa2273,RL_RS27485,pRL100013,-,hypothetical protein
WP_011654082.1,,RL_RS27490,pRL100014,-,putative phage integrase
WP_041936846.1,,RL_RS27495,pRL100015,-,hypothetical protein
WP_041936814.1,,RL_RS27500,pRL100016,-,putative segregation and condensation protein
WP_041936815.1,,RL_RS27510,pRL100018,-,putative NTP-binding transposase-related protein
WP_122330909.1,,RL_RS27515,pRL100019,-,putative transposase-related protein
WP_041936816.1,,RL_RS27520,pRL100020,-,hypothetical protein
,,RL_RS38260,pRL100021,-,-
WP_011654089.1,SMa1672,RL_RS27530,pRL100022,-,hypothetical protein
,,RL_RS27540,pRL100023,-,hypothetical protein
WP_244432400.1,,RL_RS27550,pRL100025,-,hypothetical protein
WP_011654094.1,,RL_RS27555,pRL100026,-,hypothetical protein
WP_122330917.1,,RL_RS27565,pRL100028,-,hypothetical protein
WP_011654097.1,,RL_RS27570,pRL100029,-,hypothetical protein
WP_011654098.1,,RL_RS27575,pRL100030,-,hypothetical protein
WP_244432401.1,,RL_RS27580,pRL100031,-,hypothetical protein
WP_032993442.1,,RL_RS27585,pRL100032,-,hypothetical protein
,,,pRL100033,-,-
WP_011654101.1,SMa1092,RL_RS27595,pRL100035,-,hypothetical protein
WP_028743871.1,,RL_RS27605,pRL100037,-,hypothetical protein
WP_011654104.1,,RL_RS27610,pRL100038,-,hypothetical protein
WP_028743870.1,SMa2355,RL_RS27615,pRL100039,-,putative DNA polymerase
