## Sat Mar 25 20:43:29 2023
## emapper-2.1.9
## /data/shared/home/emapper/miniconda3/envs/eggnog-mapper-2.1/bin/emapper.py --cpu 20 --mp_start_method forkserver --data_dir /dev/shm/ -o out --output_dir /emapper_web_jobs/emapper_jobs/user_data/MM__gbtp9iu --temp_dir /emapper_web_jobs/emapper_jobs/user_data/MM__gbtp9iu --override -m diamond --dmnd_ignore_warnings -i /emapper_web_jobs/emapper_jobs/user_data/MM__gbtp9iu/queries.fasta --evalue 0.001 --score 60 --pident 40 --query_cover 20 --subject_cover 20 --itype proteins --tax_scope auto --target_orthologs all --go_evidence non-electronic --pfam_realign none --report_orthologs --decorate_gff yes --excel
##
#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
Smeli:SMc02793	266834.SMc02793	1.02e-193	537.0	COG1806@1|root,COG1806@2|Bacteria,1MUHU@1224|Proteobacteria,2TT66@28211|Alphaproteobacteria,4BAD9@82115|Rhizobiaceae	28211|Alphaproteobacteria	S	Bifunctional serine threonine kinase and phosphorylase involved in the regulation of the pyruvate, phosphate dikinase (PPDK) by catalyzing its phosphorylation dephosphorylation	MA20_24795	-	2.7.11.33,2.7.4.28	ko:K09773	-	-	-	-	ko00000,ko01000	-	-	-	Kinase-PPPase
Smeli:SMc02792	266834.SMc02792	1.07e-131	374.0	COG0424@1|root,COG0424@2|Bacteria,1RDA9@1224|Proteobacteria,2U9H5@28211|Alphaproteobacteria,4B841@82115|Rhizobiaceae	28211|Alphaproteobacteria	D	Maf-like protein	maf	-	-	ko:K06287	-	-	-	-	ko00000	-	-	-	Maf
Smeli:SMc02791	266834.SMc02791	8.2e-211	582.0	COG0169@1|root,COG0169@2|Bacteria,1MVH4@1224|Proteobacteria,2TS99@28211|Alphaproteobacteria,4B87A@82115|Rhizobiaceae	28211|Alphaproteobacteria	E	Involved in the biosynthesis of the chorismate, which leads to the biosynthesis of aromatic amino acids. Catalyzes the reversible NADPH linked reduction of 3-dehydroshikimate (DHSA) to yield shikimate (SA)	aroE	-	1.1.1.25	ko:K00014	ko00400,ko01100,ko01110,ko01130,ko01230,map00400,map01100,map01110,map01130,map01230	M00022	R02413	RC00206	ko00000,ko00001,ko00002,ko01000	-	-	-	Shikimate_DH,Shikimate_dh_N
Smeli:SMc02790	266834.SMc02790	2.44e-130	370.0	COG0237@1|root,COG0237@2|Bacteria,1RCXT@1224|Proteobacteria,2U765@28211|Alphaproteobacteria,4BCNM@82115|Rhizobiaceae	28211|Alphaproteobacteria	H	Catalyzes the phosphorylation of the 3'-hydroxyl group of dephosphocoenzyme A to form coenzyme A	coaE	GO:0003674,GO:0003824,GO:0004140,GO:0006139,GO:0006163,GO:0006164,GO:0006725,GO:0006732,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009108,GO:0009117,GO:0009150,GO:0009152,GO:0009165,GO:0009259,GO:0009260,GO:0009987,GO:0015936,GO:0015937,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016773,GO:0018130,GO:0019438,GO:0019637,GO:0019693,GO:0033865,GO:0033866,GO:0033875,GO:0034030,GO:0034032,GO:0034033,GO:0034641,GO:0034654,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0046390,GO:0046483,GO:0051186,GO:0051188,GO:0055086,GO:0071704,GO:0072521,GO:0072522,GO:0090407,GO:1901135,GO:1901137,GO:1901293,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576	2.7.1.24	ko:K00859	ko00770,ko01100,map00770,map01100	M00120	R00130	RC00002,RC00078	ko00000,ko00001,ko00002,ko01000	-	-	-	CoaE
Smeli:SMc02789	266834.SMc02789	1.45e-173	484.0	COG0847@1|root,COG0847@2|Bacteria,1MV8Z@1224|Proteobacteria,2TTFF@28211|Alphaproteobacteria,4BB3Z@82115|Rhizobiaceae	28211|Alphaproteobacteria	L	DNA polymerase III is a complex, multichain enzyme responsible for most of the replicative synthesis in bacteria. The epsilon subunit contain the editing function and is a proofreading 3'-5' exonuclease	dnaQ	GO:0003674,GO:0003824,GO:0004518,GO:0004527,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006259,GO:0006260,GO:0006261,GO:0006281,GO:0006725,GO:0006807,GO:0006950,GO:0006974,GO:0008150,GO:0008152,GO:0008408,GO:0009058,GO:0009059,GO:0009360,GO:0009987,GO:0016787,GO:0016788,GO:0032991,GO:0033554,GO:0034641,GO:0034645,GO:0042575,GO:0043170,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044424,GO:0044444,GO:0044464,GO:0044776,GO:0045004,GO:0045005,GO:0046483,GO:0050896,GO:0051716,GO:0061695,GO:0071704,GO:0090304,GO:0090305,GO:1901360,GO:1901576,GO:1902494,GO:1990234	2.7.7.7	ko:K02342	ko00230,ko00240,ko01100,ko03030,ko03430,ko03440,map00230,map00240,map01100,map03030,map03430,map03440	M00260	R00375,R00376,R00377,R00378	RC02795	ko00000,ko00001,ko00002,ko01000,ko03032,ko03400	-	-	-	RNase_T
Smeli:SMc02788	266834.SMc02788	2.16e-109	315.0	COG1952@1|root,COG1952@2|Bacteria,1RI75@1224|Proteobacteria,2U5KK@28211|Alphaproteobacteria,4BMPX@82115|Rhizobiaceae	28211|Alphaproteobacteria	U	One of the proteins required for the normal export of preproteins out of the cell cytoplasm. It is a molecular chaperone that binds to a subset of precursor proteins, maintaining them in a translocation-competent state. It also specifically binds to its receptor SecA	secB	-	-	ko:K03071	ko02024,ko03060,ko03070,map02024,map03060,map03070	M00335	-	-	ko00000,ko00001,ko00002,ko02044,ko03110	3.A.5	-	-	SecB
Smeli:SMc02787	266834.SMc02787	2.35e-106	310.0	COG3030@1|root,COG3030@2|Bacteria,1MZJJ@1224|Proteobacteria,2UF72@28211|Alphaproteobacteria,4BCF8@82115|Rhizobiaceae	28211|Alphaproteobacteria	S	Protein affecting phage T7 exclusion by the F plasmid	fxsA	-	-	ko:K07113	-	-	-	-	ko00000	-	-	-	FxsA
Smeli:SMc02786	266834.SMc02786	3.97e-162	454.0	COG4395@1|root,COG4395@2|Bacteria,1NCIX@1224|Proteobacteria,2TTDQ@28211|Alphaproteobacteria,4BACK@82115|Rhizobiaceae	28211|Alphaproteobacteria	S	protein conserved in bacteria	MA20_24770	-	-	-	-	-	-	-	-	-	-	-	Tim44
Smeli:SMc02785	266834.SMc02785	1.38e-275	753.0	COG2821@1|root,COG2821@2|Bacteria,1MXD4@1224|Proteobacteria,2TS5S@28211|Alphaproteobacteria,4B801@82115|Rhizobiaceae	28211|Alphaproteobacteria	M	membrane-bound lytic murein transglycosylase	mltA	-	-	ko:K08304	-	-	-	-	ko00000,ko01000,ko01011	-	GH102	-	3D,MltA
Smeli:SMc02784	266834.SMc02784	1.8e-129	368.0	COG2840@1|root,COG2840@2|Bacteria,1RH34@1224|Proteobacteria,2UCM1@28211|Alphaproteobacteria,4BA0F@82115|Rhizobiaceae	28211|Alphaproteobacteria	S	protein conserved in bacteria	smrA	-	-	-	-	-	-	-	-	-	-	-	Smr
Smeli:SMc02783	266834.SMc02783	3.58e-85	251.0	COG1396@1|root,COG1396@2|Bacteria,1N1CT@1224|Proteobacteria,2UCMF@28211|Alphaproteobacteria,4BEU1@82115|Rhizobiaceae	28211|Alphaproteobacteria	K	transcriptional	-	-	-	-	-	-	-	-	-	-	-	-	HTH_3,HTH_31
Smeli:SMc02782	266834.SMc02782	0.0	1571.0	COG0187@1|root,COG0187@2|Bacteria,1MVKT@1224|Proteobacteria,2TRBK@28211|Alphaproteobacteria,4B7U4@82115|Rhizobiaceae	28211|Alphaproteobacteria	L	A type II topoisomerase that negatively supercoils closed circular double-stranded (ds) DNA in an ATP-dependent manner to modulate DNA topology and maintain chromosomes in an underwound state. Negative supercoiling favors strand separation, and DNA replication, transcription, recombination and repair, all of which involve strand separation. Also able to catalyze the interconversion of other topological isomers of dsDNA rings, including catenanes and knotted rings. Type II topoisomerases break and join 2 DNA strands simultaneously in an ATP-dependent manner	gyrB	-	5.99.1.3	ko:K02470	-	-	-	-	ko00000,ko01000,ko03032,ko03400	-	-	-	DNA_gyraseB,DNA_gyraseB_C,HATPase_c,Toprim
Smeli:SMc02781	266834.SMc02781	2.18e-144	406.0	COG0778@1|root,COG0778@2|Bacteria,1RA6E@1224|Proteobacteria,2U71K@28211|Alphaproteobacteria,4BCDY@82115|Rhizobiaceae	28211|Alphaproteobacteria	C	nitroreductase	-	-	-	-	-	-	-	-	-	-	-	-	Nitroreductase
Smeli:SMc02780	266834.SMc02780	0.0	938.0	COG1012@1|root,COG1012@2|Bacteria,1MU1V@1224|Proteobacteria,2TQR1@28211|Alphaproteobacteria,4B85Z@82115|Rhizobiaceae	28211|Alphaproteobacteria	C	Belongs to the aldehyde dehydrogenase family	gabD	-	1.2.1.16,1.2.1.20,1.2.1.79	ko:K00135	ko00250,ko00310,ko00350,ko00650,ko00760,ko01100,ko01120,map00250,map00310,map00350,map00650,map00760,map01100,map01120	M00027	R00713,R00714,R02401	RC00080	ko00000,ko00001,ko00002,ko01000	-	-	-	Aldedh
Smeli:SMc02779	266834.SM_b20777	2.81e-231	636.0	COG3547@1|root,COG3547@2|Bacteria,1MXKJ@1224|Proteobacteria,2U2G6@28211|Alphaproteobacteria,4BCVN@82115|Rhizobiaceae	28211|Alphaproteobacteria	L	Transposase IS116/IS110/IS902 family	-	-	-	ko:K07486	-	-	-	-	ko00000	-	-	-	DEDD_Tnp_IS110,Transposase_20
Smeli:SMc02778	266834.SMc02778	5.46e-190	527.0	COG3836@1|root,COG3836@2|Bacteria,1MUSG@1224|Proteobacteria,2TT2W@28211|Alphaproteobacteria,4B76M@82115|Rhizobiaceae	28211|Alphaproteobacteria	G	Belongs to the HpcH HpaI aldolase family	hpcH	-	4.1.2.20,4.1.2.52	ko:K01630,ko:K02510	ko00053,ko00350,ko01120,map00053,map00350,map01120	-	R01645,R01647,R02754,R03277	RC00307,RC00435,RC00572,RC00574,RC03057	ko00000,ko00001,ko01000	-	-	-	HpcH_HpaI
Smeli:SMc02777	266834.SMc02777	1.46e-207	574.0	COG1802@1|root,COG1802@2|Bacteria,1R56F@1224|Proteobacteria,2TXIU@28211|Alphaproteobacteria,4BB1I@82115|Rhizobiaceae	28211|Alphaproteobacteria	K	transcriptional regulator	yjjM	-	-	-	-	-	-	-	-	-	-	-	FCD,GntR
