new.locus.tag,KEGG_ko,Name_description
SM_RS00010,K09773,"ppsR; [pyruvate, water dikinase]-phosphate phosphotransferase / [pyruvate, water dikinase] kinase [EC:2.7.4.28 2.7.11.33]"
SM_RS00015,K06287,yhdE; nucleoside triphosphate pyrophosphatase [EC:3.6.1.-]
SM_RS00020,K00014,aroE; shikimate dehydrogenase [EC:1.1.1.25]
SM_RS00025,K00859,coaE; dephospho-CoA kinase [EC:2.7.1.24]
SM_RS00030,K02342,dnaQ; DNA polymerase III subunit epsilon [EC:2.7.7.7]
SM_RS00035,K03071,secB; preprotein translocase subunit SecB
SM_RS00040,K07113,fxsA; UPF0716 protein FxsA
SM_RS00045,,
SM_RS00050,K08304,mltA; membrane-bound lytic murein transglycosylase A [EC:4.2.2.-]
SM_RS00055,,
SM_RS00060,,
SM_RS00065,K02470,gyrB; DNA gyrase subunit B [EC:5.6.2.2]
SM_RS00070,,
SM_RS00075,K00135,gabD; succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.79 1.2.1.20]
SM_RS00080,K07486,K07486; transposase
SM_RS00085,K02510,"hpaI, hpcH; 4-hydroxy-2-oxoheptanedioate aldolase [EC:4.1.2.52]"
SM_RS00090,,
SM_RS00095,K26399,K26399; arabinonate dehydratase [EC:4.2.1.5]
SM_RS00100,K00064,E1.1.1.122; D-threo-aldose 1-dehydrogenase [EC:1.1.1.122]
SM_RS00105,K10439,rbsB; ribose transport system substrate-binding protein
SM_RS00110,K10441,rbsA; ribose transport system ATP-binding protein [EC:7.5.2.7]
SM_RS00115,K10440,rbsC; ribose transport system permease protein
SM_RS00120,,
SM_RS00125,K05973,phaZ; poly(3-hydroxybutyrate) depolymerase [EC:3.1.1.75]
SM_RS00130,,
SM_RS00135,,
SM_RS00140,K01817,trpF; phosphoribosylanthranilate isomerase [EC:5.3.1.24]
SM_RS00145,K01696,trpB; tryptophan synthase beta chain [EC:4.2.1.20]
SM_RS00150,K01695,trpA; tryptophan synthase alpha chain [EC:4.2.1.20]
SM_RS00155,K01963,accD; acetyl-CoA carboxylase carboxyl transferase subunit beta [EC:6.4.1.2 2.1.3.15]
SM_RS00160,K11754,folC; dihydrofolate synthase / folylpolyglutamate synthase [EC:6.3.2.12 6.3.2.17]
SM_RS00165,K07495,K07495; putative transposase
SM_RS00170,K03671,trxA; thioredoxin 1
SM_RS00175,K16898,addA; ATP-dependent helicase/nuclease subunit A [EC:5.6.2.4 3.1.-.-]
SM_RS00180,K16899,addB; ATP-dependent helicase/nuclease subunit B [EC:5.6.2.4 3.1.-.-]
SM_RS00185,K00992,murU; N-acetyl-alpha-D-muramate 1-phosphate uridylyltransferase [EC:2.7.7.99]
SM_RS00190,K07102,amgK; N-acetylmuramate 1-kinase [EC:2.7.1.221]
SM_RS00195,,
SM_RS00200,K01251,"AHCY, ahcY; adenosylhomocysteinase [EC:3.13.2.1]"
SM_RS00205,K02784,ptsH; phosphocarrier protein HPr
SM_RS00210,K02793,manXa; mannose PTS system EIIA component [EC:2.7.1.191]
SM_RS00215,,
SM_RS00220,K14980,"chvG; two-component system, OmpR family, sensor histidine kinase ChvG [EC:2.7.13.3]"
SM_RS00225,K14981,"chvI; two-component system, OmpR family, response regulator ChvI"
SM_RS00230,K01610,"E4.1.1.49, pckA; phosphoenolpyruvate carboxykinase (ATP) [EC:4.1.1.49]"
SM_RS00235,K15034,yaeJ; ribosome-associated protein
SM_RS00240,,
SM_RS00245,K03919,alkB; DNA oxidative demethylase [EC:1.14.11.33]
SM_RS00250,K00867,coaA; type I pantothenate kinase [EC:2.7.1.33]
SM_RS00255,K01523,hisE; phosphoribosyl-ATP pyrophosphohydrolase [EC:3.6.1.31]
SM_RS00260,K02500,hisF; imidazole glycerol-phosphate synthase subunit HisF [EC:4.3.2.10]
SM_RS00265,K01814,hisA; phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase [EC:5.3.1.16]
SM_RS00270,K02501,hisH; imidazole glycerol-phosphate synthase subunit HisH [EC:4.3.2.10]
SM_RS00275,,
SM_RS00280,K01693,hisB; imidazoleglycerol-phosphate dehydratase [EC:4.2.1.19]
SM_RS00285,K01419,"hslV, clpQ; ATP-dependent HslUV protease, peptidase subunit HslV [EC:3.4.25.2]"
SM_RS00290,K00663,aacA; aminoglycoside 6'-N-acetyltransferase [EC:2.3.1.82]
SM_RS00295,K03667,hslU; ATP-dependent HslUV protease ATP-binding subunit HslU
SM_RS00300,,
SM_RS00305,,
SM_RS00310,,
SM_RS00315,K01638,"aceB, glcB; malate synthase [EC:2.3.3.9]"
SM_RS00320,,
SM_RS00325,,
SM_RS00330,K15012,"regA, regR, actR; two-component system, response regulator RegA"
SM_RS00335,K15011,"regB, regS, actS; two-component system, sensor histidine kinase RegB [EC:2.7.13.3]"
SM_RS00340,K03579,hrpB; ATP-dependent helicase HrpB [EC:3.6.4.13]
SM_RS00345,K05779,ynjD; putative thiamine transport system ATP-binding protein
SM_RS00350,K05778,ynjC; putative thiamine transport system permease protein
SM_RS00355,K05777,ynjB; putative thiamine transport system substrate-binding protein
SM_RS00390,,
SM_RS00395,,
SM_RS00400,,
SM_RS00405,,
SM_RS00410,K01934,MTHFS; 5-formyltetrahydrofolate cyclo-ligase [EC:6.3.3.2]
SM_RS00415,K01739,metB; cystathionine gamma-synthase [EC:2.5.1.48]
SM_RS00420,K23773,"hdfR; LysR family transcriptional regulator, flagellar master operon regulator"
SM_RS00425,,
SM_RS00430,K07168,K07168; CBS domain-containing membrane protein
SM_RS00440,K01491,folD; methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase [EC:1.5.1.5 3.5.4.9]
SM_RS00445,K22087,mgdD; methylglutamate dehydrogenase subunit D [EC:1.5.99.5]
SM_RS00450,K22086,mgdC; methylglutamate dehydrogenase subunit C [EC:1.5.99.5]
SM_RS00455,K22085,mgdB; methylglutamate dehydrogenase subunit B [EC:1.5.99.5]
SM_RS00460,K22084,mgdA; methylglutamate dehydrogenase subunit A [EC:1.5.99.5]
SM_RS00465,,
SM_RS00470,K22081,mgsA; methylamine---glutamate N-methyltransferase subunit A [EC:2.1.1.21]
SM_RS00475,K22082,mgsB; methylamine---glutamate N-methyltransferase subunit B [EC:2.1.1.21]
SM_RS00480,K22083,mgsC; methylamine---glutamate N-methyltransferase subunit C [EC:2.1.1.21]
SM_RS00485,K01915,"glnA, GLUL; glutamine synthetase [EC:6.3.1.2]"
SM_RS00490,,
SM_RS00495,,
SM_RS00500,K16238,"eat, eutP; ethanolamine permease"
SM_RS31195,,
SM_RS00505,,
SM_RS00510,,
SM_RS00515,,
